time,open,high,low,close,Volume,EMA Curta (21),EMA Longa (55)
1586160000,7026,7076,7014.5,7036,567.375,6934.744043862501,6815.9326739492735
1586163600,7036,7140,7031.5,7100,957.987,6962.2867032187505,6826.077935593942
1586167200,7100,7140,7071.5,7077,661.317,6981.405586015626,6835.039437894158
1586170800,7077,7115,7067,7092,398.6,6999.837988346355,6844.216600826509
1586174400,7092,7158,7092,7128.5,577.967,7021.281656955296,6854.36957936842
1586178000,7128.5,7155,7039.5,7097.5,801.716,7033.984714129413,6863.052808676691
1586181600,7097.5,7115,7054.5,7096.5,501.623,7044.403928441177,6871.390208366809
1586185200,7096.5,7140,7084.5,7135.5,541.217,7059.5866070343145,6880.822700925137
1586188800,7135.5,7178,7077,7140,1019.863,7072.988839195262,6890.079033034954
1586192400,7140,7212,7132.5,7201.5,958.844,7094.407365996051,6901.201210426562
1586196000,7201.5,7246,7171.5,7235.5,862.896,7117.92280499671,6913.140452911328
1586199600,7235.5,7298,7219,7264.5,1420.283,7142.352337497258,6925.689008164495
1586203200,7264.5,7282,7190,7215,833.365,7154.460281247715,6936.021543587191
1586206800,7215,7281.5,7200.5,7281.5,370.608,7175.633567706429,6948.360059887649
1586210400,7281.5,7282,7232.5,7261,512.175,7189.861306422024,6959.525772034519
1586214000,7261,7363,7236.5,7322.5,870.449,7211.967755351687,6972.489137319
1586217600,7322.5,7448,7302.5,7365.5,1359.016,7237.556462793073,6986.525239557607
1586221200,7365.5,7407.5,7335,7340,696.882,7254.630385660894,6999.149338144835
1586224800,7340,7369.5,7257,7305,1077.832,7263.025321384078,7010.072576068234
1586228400,7305,7319.5,7261,7319.5,651.271,7272.437767820065,7021.123555494369
1586232000,7319.5,7319.5,7224,7247.5,745.075,7268.281473183388,7029.208428512427
1586235600,7247.5,7292.5,7240,7275.5,559.155,7269.484560986157,7038.004556065555
1586239200,7275.5,7296,7253,7295.5,901.836,7273.820467488464,7047.200821920357
1586242800,7295.5,7379.5,7294,7377,853.467,7291.017056240386,7058.97936399463
1586246400,7377,7378.5,7313.5,7357,723.191,7302.0142135336555,7069.622958137679
1586250000,7357,7369.5,7333,7364,498.251,7312.345177944713,7080.136423918477
1586253600,7364,7436.5,7362,7420,1139.614,7330.287648287261,7092.274408778531
1586257200,7420,7420,7360.5,7384,649.326,7339.239706906051,7102.693179893584
1586260800,7384,7458.5,7295.5,7333,1417.051,7338.199755755042,7110.918423468813
1586264400,7333,7387.5,7333,7345.5,741.085,7339.4164631292015,7119.296336916355
1586268000,7345.5,7348.5,7254,7278,879.406,7329.180385941001,7124.964324883628
1586271600,7278,7338,7277,7314,463.417,7326.650321617501,7131.715598994927
1586275200,7314,7379,7313.5,7361.5,557.463,7332.4586013479175,7139.922184745108
1586278800,7361.5,7367,7317,7346,425.307,7334.715501123264,7147.282106718497
1586282400,7346,7349,7285,7300.5,450.643,7329.01291760272,7152.754174335693
1586286000,7300.5,7354.5,7281,7281,523.025,7321.010764668934,7157.334382395133
1586289600,7281,7288.5,7072.5,7121,1383.362,7287.675637224112,7156.036725881021
1586293200,7121,7214.5,7081,7166,889.951,7267.396364353426,7156.392557099556
1586296800,7166,7197,7126.5,7167.5,618.223,7250.746970294522,7156.789251488858
1586300400,7167.5,7206,7161,7198.5,335.174,7242.0391419121015,7158.278921078541
1586304000,7198.5,7209,7150.5,7153,853.339,7227.199284926752,7158.090388182879
1586307600,7153,7186,7152.5,7165,854.563,7216.83273743896,7158.33716003349
1586311200,7165,7277,7158,7261,818.755,7224.1939478658005,7162.003690032294
1586314800,7261,7382.5,7261,7345,1543.846,7244.328289888167,7168.53927253114
1586318400,7345,7368,7324.5,7348,714.704,7261.606908240139,7174.948584226457
1586322000,7348,7410,7326.5,7403.5,644.555,7285.255756866783,7183.111134789798
1586325600,7403.5,7417,7282.5,7315,874.859,7290.213130722319,7187.8214514044475
1586329200,7315,7345,7299.5,7313.5,520.753,7294.094275601932,7192.309970997146
1586332800,7313.5,7327,7259.5,7286.5,472.535,7292.82856300161,7195.673900604391
1586336400,7286.5,7318.5,7268,7301.5,546.997,7294.273802501341,7199.453404154234
1586340000,7301.5,7336,7215,7249,1033.1,7286.728168751118,7201.22292543444
1586343600,7249,7295,7235,7287,552.698,7286.773473959265,7204.28639238321
1586347200,7287,7338.5,7222.5,7271,776.723,7284.144561632721,7206.669021226667
1586350800,7271,7305,7196,7219,706.33,7273.287134693934,7207.109413325715
1586354400,7219,7267,7217.5,7266.5,465.055,7272.155945578278,7209.230505706939
1586358000,7266.5,7297.5,7260,7272,550.23,7272.129954648565,7211.472273360262
